,variable_3,variable_6,variable_14,variable_23,variable_30,variable_33,variable_56,variable_66,variable_87,variable_92,variable_96,variable_100,variable_103,variable_139,variable_141,variable_151,variable_152,variable_154,variable_157,variable_161,variable_165,variable_174,variable_186,variable_197,variable_212,variable_215,variable_251,variable_267,variable_327,variable_368,variable_373,variable_377,variable_392,variable_422,variable_435,variable_444,variable_458,variable_460,variable_466,variable_472,variable_486,variable_498,variable_510,variable_516,variable_519,variable_524,variable_541,variable_552,variable_563,variable_577,variable_582,variable_610,variable_632,variable_639,variable_683,variable_690,variable_770,variable_776,variable_783,variable_807,variable_820,variable_821,variable_857,variable_860,variable_883,variable_943,variable_950,variable_953,variable_957,variable_990,variable_1000,variable_1033,variable_1104,variable_1107,variable_1118,variable_1162,variable_1197,variable_1228,variable_1239,variable_1244,variable_1245,variable_1280,variable_1282,variable_1283,variable_1286,variable_1289,variable_1300,variable_1304,variable_1307,variable_1320,variable_1323,variable_1326,variable_1327,variable_1331,variable_1387,variable_1389,variable_1396,variable_1406,variable_1407,variable_1408,variable_1411,variable_1412,variable_1432,variable_1433,variable_1434,variable_1435,variable_1449,variable_1450,variable_1502,variable_1550,variable_1582,variable_1584,variable_1587,variable_1589,variable_1593,variable_1597,variable_1667,variable_1671,variable_1674,variable_1676,variable_1684,variable_1687,variable_1710,variable_1713,variable_1716,variable_1717,variable_1726,variable_1727,variable_1732,variable_1757,variable_1796,variable_2034,variable_2071,variable_2099,variable_2100,variable_2101,variable_2102,variable_2103,variable_2104,variable_2141,variable_2147,variable_2148,variable_2149,variable_2150,variable_2153,variable_2155,variable_2167,variable_2194,variable_2195,variable_2198,variable_2206,variable_2218,variable_2219,variable_2220,variable_2223,variable_2229,variable_2231
0,4.445422985882738,4.657789829444486,4.183407533196545,4.099463847366665,3.815357079386974,4.519739526887484,3.9690826264949814,3.7507340744302438,4.728702416564421,4.254655035822199,4.208467925374744,4.090595095210072,3.7789834961848006,4.332375054720344,4.51175982011063,4.2460172538433,4.041690333153098,4.1480426552347796,3.693804577575051,3.9865193987064957,4.161531315923863,4.094142120008477,4.9889559590824515,4.331415927900345,4.2644043907938896,3.833868230611676,4.435378955097997,4.3676907923189345,3.818718304609676,3.924832145015045,4.140278618913478,4.099755560006657,3.7356864792569384,4.689186383520931,3.881661485044452,3.9218508137595696,3.733049374707854,4.849079535237013,4.47396640212549,4.0803695868505585,3.7820348156543986,4.411015594373273,4.196435692115489,4.4933891286586904,3.9022320412189226,4.091973968826365,3.640552516134907,4.561447659017682,4.174673070718568,4.388342640042924,3.9956013887648,3.7164131069846227,4.393295940873845,4.024057267225405,3.889743696948296,4.147948221444682,4.117669184970036,4.3319274239395895,3.986904568803422,4.59883316975428,4.043908275809554,3.9395035506894267,3.9899344595485524,3.6394991771548044,4.2744028383331045,4.32288512683334,4.012047123451506,4.373717752692474,4.06082376714181,3.582252619132604,4.203411615060034,3.872244286332914,4.022138674771719,3.8704149549249367,4.331773578585589,3.9991029211593565,3.8383700112089114,3.797257502897466,4.031516394030601,3.775625766492463,4.074925124153903,4.883980369592101,4.673219144082931,3.9089433300190475,4.382435071036467,3.9901513885477073,3.828472186672002,4.408402534678905,4.159609337107945,4.9641042754542335,4.768088165738801,4.484982085097063,4.1135198119832,4.052566415303443,4.7201663469385275,4.501090809312494,4.0458713778150805,4.606580733030867,4.392538729116182,4.18807416039234,4.062725369801705,3.925129881119783,4.309619322528847,3.9899527450932424,4.034906333312696,3.7450991810317515,3.8804454109586053,3.7341612820848673,3.9539426070483366,3.990182509387171,4.808763746348567,4.609378137473622,4.767301065686024,4.555039782434749,4.256907799539003,3.8742867233846927,4.61776816892088,4.414402813361962,4.530451473480894,4.296510336794327,3.798774209138982,3.8921880794502597,4.281409798433198,4.058136878129581,4.23136639510941,3.9816759696807322,4.045520072469966,4.029537806515395,3.996196020813118,4.017871111177299,3.9091743767015816,3.650230543495616,4.017558521630543,4.3894526984552416,4.248877090672405,4.650462567780468,4.5262086210141375,4.591920242508966,4.477011208466078,3.99832989938638,4.576650574648648,4.460501264107893,4.503826002715036,4.3728492088027116,4.490774671830985,4.362762419710463,3.830424033001216,3.733344437284257,4.597829061855204,3.640631532492131,3.817345283785199,4.438627249854735,4.320195241061196,4.149020730549235,3.9030556164135812,4.013743201685715,3.8849984166585063
1,4.442440692525146,4.564144396880997,4.237190060469638,3.994186280867018,3.835599042391931,4.134598709208356,4.206159157412317,3.7267513408763535,4.682391318731723,4.18760443274732,4.197510560158354,4.265889696253221,3.756822035225571,4.353237843418574,4.427279154190133,4.314449653728445,4.058026329685455,4.128924734014801,3.6822151589283725,3.915227087459398,4.497155106496984,3.8889465181617373,5.000047263626865,4.324974448301019,4.124595615696077,3.8459615450992097,3.981580439875226,4.298670122957739,3.844553371024598,3.735422925179758,4.112764104426316,4.027397043951937,3.796741783254097,4.686464399656727,3.935162657555352,3.914967354727789,3.8201554856793067,4.759866260839426,4.375247428307661,3.9793490535287175,3.76586427385741,4.407607607267155,3.9345090161373375,4.474492266508861,3.9280830776767184,4.063106947567304,3.7112556453710783,4.119342762847989,4.102916756025961,4.383033051249283,3.9240115579108457,3.7403366368612865,4.339674802419232,3.9725275125475723,3.852195392641474,4.1137190780104325,3.9627273681456683,4.3163030904046,3.967466606549134,4.381841091134468,4.02300915921535,3.896205755103175,3.9787976027363468,3.6179735045402284,4.174915161569358,4.283611950718879,3.9711049217076098,4.328889019944875,4.011893776176433,3.6501868292770987,4.100206448547329,3.8937566977084868,3.9323601773265886,3.765572310012384,4.258055259602534,4.008293656769025,3.8335421813709574,3.7278731843018478,4.004658015274064,3.725124637298878,4.053667193160632,4.872476231457594,4.661796222010192,3.8985318227440313,4.367858414808521,3.9635539833216478,3.7194626572540286,4.364175451760034,4.1149909470939425,4.952972588462357,4.756086777511739,4.472853622217577,4.096749275443299,4.027694674078797,4.71737088424828,4.50347958113538,4.04366380237748,4.607581325664746,4.399801416983873,4.191743783336095,4.0653593076738614,3.921943742234965,4.274157109743159,4.007446827438812,3.995656513245314,3.739392384409625,3.8877716054605496,3.7393776456650243,3.952877805018681,3.9880573898473552,4.82797252278749,4.631233591791673,4.780456653526104,4.571137326081519,4.271217571359483,3.8839886702659547,4.68793250485175,4.496033252479235,4.504220720278182,4.263765822963451,3.884562895831177,4.009860726536385,4.2919763816360526,4.086268942801857,4.23797209152315,3.9946577999957515,3.962107264230715,4.0623257841467,4.058084349602124,4.118364860027436,3.90741505419162,3.7297330747194897,4.123448433301803,4.506818675044493,4.390324093810957,4.6294298812542785,4.527805711538482,4.524548623772817,4.38077657685994,4.109773186267947,4.586130517103989,4.471289961870925,4.475136222628636,4.328254668446209,4.407631430676332,4.248967939626928,3.8340759188327374,3.805565225495209,4.592028307859698,3.6306132598375034,3.7573986953838423,4.412743120924024,4.291733475073201,4.121261683147056,3.8742585370640925,4.004987191758546,3.830619036305189
2,4.4025073771688215,4.7066553296562414,4.171895849668062,3.993391584922458,3.814932086243227,4.516831052931868,3.9349737604344965,3.7080704672350553,4.620199482644911,4.1318199239628415,4.187586672141628,4.171958333443264,3.7549753793768876,4.47078979567576,4.473388080819436,4.319253207019716,3.978899277489215,4.120025054203093,3.6778933668544145,4.025788100397983,4.033900565083912,4.092790654020775,4.881231262148732,4.27955590338049,4.151651352915404,3.8165182285425807,4.435378955097997,4.221269679165701,3.7623036471853255,3.6313100120249304,4.118328087270683,4.056874342433864,3.7802108695746988,4.678877481189542,3.8915325191146226,3.8594644587364706,3.762511735958454,4.841321276162263,4.464283435192371,4.0771769651671725,3.7033510061795925,4.409447428101689,4.20088768540768,4.325223651086577,3.996859089540986,3.9129119917360393,3.654351114002649,4.554736960915053,4.043006073993434,4.276013996270943,3.8877208693592826,3.713737894422653,4.201621754872337,3.8354847284483484,3.884150286114223,4.14083268657659,3.9236889103129333,4.306078138044293,3.96091973865774,4.405049489358434,4.041253270273605,3.9364990003592024,3.9671375715760098,3.6068219221375624,4.07128162796879,4.32473495140346,4.017143785800864,4.365725936996378,4.04765759542337,3.6027099994699405,4.164711640386523,3.883794546790497,3.8400305079614405,3.862195897867533,4.313703365889755,3.9826354130947257,3.8335421813709574,3.768265359229986,4.00621644202628,3.7415954009842514,4.065120645223312,4.864533189217153,4.653519342444941,3.897227919038211,4.374274148162481,3.960524488955901,3.812177839656133,4.308648981569593,4.056266779881841,4.945048328876857,4.745447019109085,4.465146030285774,4.105535651179197,4.046857288667022,4.723530716871829,4.506173131917182,4.052277313343745,4.603920959055866,4.393979861998277,4.191635030054525,4.069206170424448,3.933625749675126,4.288952730590126,3.9190728567968214,4.019019137779168,3.656218065722818,3.867411363606941,3.7332631749729885,3.946806702753569,3.8998246655853643,4.705331022590292,4.501549493839371,4.70552524742453,4.4993375452066955,4.196933834147341,3.8018793193405678,4.4992914413010965,4.275431420437228,4.385743677681506,4.144437811437626,3.7285176676049425,3.833810422276889,4.12917054275048,3.892381770990443,4.15276476062448,3.9108880487404134,3.9030813670402904,3.8158845005689965,3.859506312377685,3.865102313600172,3.8409772697197258,3.7455083557082074,4.090961938447032,4.4389320218850505,4.308601179747261,4.61670847767084,4.527533492636669,4.548611370879765,4.410515654760711,4.018707326290919,4.564351549363709,4.451572657259466,4.459934092803458,4.3097917949624085,4.432410428165199,4.290272160057063,3.7828302380326164,3.783997645699307,4.559181069959911,3.642349557341209,3.7665916046073273,4.398669833995033,4.285570472307298,4.111615061116921,3.871706590301672,3.9761508143707025,3.8601933944323306
3,4.401917236646448,4.70843801870649,3.979567441497455,4.046135371253302,3.8469621056656123,4.519739526887484,3.9193714052251414,3.7179738447132733,4.687667721782304,4.292228363870415,4.181331368026696,4.038480704115831,3.7374031319161034,4.530487558107527,4.531052646118571,4.260170122549861,4.029426987146634,4.115898704730547,3.6717483446638606,4.254624052263373,4.095750443649149,4.07813799698024,4.974090478111009,4.281383326162281,4.204481242700709,3.830520287935844,4.441103929106017,4.298730570551893,3.771215756545056,3.663940050515688,4.123698927242604,3.9303466492188703,3.799236693659293,4.686699946345029,3.914831059479962,3.898313465245516,3.7890903534300286,4.737053272339831,4.34162027897125,3.9595653203665298,3.7429497817622934,4.413471178509202,4.1977361076353406,4.434247948773636,3.9541453964931916,4.019706289900234,3.6823627993552726,4.564775653569757,4.104633618256141,4.276676432454623,3.8812074510383363,3.736701041304736,4.290859342197318,3.9087558561153957,3.8780419177023218,4.042070819335591,3.895559373753338,4.302104616318564,3.9524750348314535,4.27409436067668,4.01427485439743,3.9364411059449376,3.967140772303499,3.6018643536901274,4.0846489561489125,4.17070454915983,3.8702908445731827,4.206369019965331,3.878534848630511,3.616721056514657,4.078987888930243,3.8868480629093027,3.7743567713340904,3.8595696582919707,4.319458995421753,3.9933059676301794,3.843204306178244,3.6737557301011043,4.000573018775648,3.7510933251948564,3.9628712205076764,4.859453778684246,4.649595046227714,3.874075142594475,4.359873955909322,3.9895161018606875,3.8134006812462156,4.309235123072539,4.060743688670216,4.9408258742676106,4.742323454514516,4.460323707450626,4.12021264754868,4.042907915597584,4.716367736218043,4.498165539055861,4.041772918395799,4.591354141911469,4.387130728597998,4.211421785449779,4.0621850943967095,3.8989632435941095,4.451522027839377,3.90942978362762,4.160170127067738,3.649153775256162,3.8577149824480164,3.7033712055914543,3.9508925071177776,3.889591131104232,4.811731684160433,4.604369492574179,4.790275540482228,4.592330159297444,4.285404229565445,3.898498589527371,4.573823590837332,4.362173629677503,4.505045570940243,4.261056112890055,3.836343006578492,3.957105319455738,4.309328686916409,4.034812048130643,4.259596743598365,4.011640819554225,3.9815492657329385,4.028518590960926,4.045081845437741,3.960954271075267,3.8392970686624652,3.6930822577701137,4.042432339987758,4.3693461241738225,4.230643164917221,4.581666431724204,4.484563921155367,4.56967654538091,4.440334473170641,3.986017338177495,4.4995041123877195,4.386721661801327,4.460657006796667,4.326977316966696,4.444135810240524,4.284648523106673,3.7938231061150307,3.7213670420637497,4.534498399042556,3.670560512130035,3.7573986953838423,4.3860886146099585,4.26380824514805,4.092838874959299,3.8509174370396595,3.96719147261639,3.842207432100589
4,4.448937891658278,4.706405086799361,4.075557800833537,4.021413059662225,3.828449485288398,4.519007830257024,4.208211646965929,3.669550709904157,4.656440041190212,4.174151895614617,4.134513925487893,4.39793998870246,3.668096418251502,4.383683657619149,4.450508273656684,4.336547007278868,4.002914923205763,4.08240730072281,3.6261314838956267,4.158648181767712,4.059540226721285,4.115660886475318,4.887705401622799,4.306726285711504,4.195590180281625,3.7898474088407306,4.433476077822198,4.226291353994386,3.7009120937500124,3.6414148696820305,4.123698927242604,4.143737117950245,3.825591077673096,4.662961784654481,3.9250367569090736,3.901479365335385,3.8121050698328736,4.780682347323884,4.396868137864757,4.000779645853543,3.7531572970840297,4.389766849763243,4.200340295559361,4.3240718758166246,3.8768367645911144,3.90917884438117,3.6579757899886927,4.55908519843874,3.938191970772807,4.37606336304445,3.982997923040734,3.711174582239483,4.120487943107782,3.7670487862906685,3.8711798245459095,4.176320856708725,3.999419086804995,4.270489339139954,3.9175855165326,3.960692568141915,4.053342582914871,3.9336810566444504,3.909024258941264,3.5493742773950174,4.155351214821402,4.3118660321034445,3.9937760865081557,4.4296244629739325,4.119205084381524,3.6224253109167894,4.062037588594842,3.900562055025852,3.9349141894977837,3.8725001145372997,4.331576771323002,3.952893173533532,3.8391108862456553,3.9092228952105943,3.9591084968448893,3.6745947858900716,4.077331543888392,4.823877884040723,4.608313015368835,3.864312020076135,4.311821488559574,3.904261508460313,3.817936582386093,4.287802270727138,4.030405701361923,4.905695680154405,4.703381027267173,4.416474076996502,4.028915283825287,4.043282966507885,4.71447879700467,4.496056661771045,4.041059520479598,4.582249383936376,4.36837383580033,4.147566043876637,4.041283298302026,3.881873311157797,4.34648397253893,3.8890486525839707,4.07383261165192,3.6133882190282716,3.873342818273203,3.7415866898788406,3.9684298310502353,3.869576267399869,4.730165114196511,4.523319633956559,4.701824966286229,4.496723791578887,4.180003701372105,3.788219797699521,4.448769989923754,4.220913934618272,4.3677876590176865,4.129274806821072,3.6930995926086525,3.8446042623134047,4.161029880618703,3.9195921596576984,4.140025807396096,3.897404295326442,3.822983209811717,3.8579638051189646,3.8272833516535982,3.787585650351844,3.790102623598021,3.7496161521151334,4.136944269746645,4.226875078810539,4.076302399089106,4.632762758241123,4.511577753408701,4.597762450661974,4.461402897069576,3.898861919149972,4.532155760621252,4.41846812896265,4.441545157201917,4.283807818843628,4.394341150673432,4.298671367275185,3.831077301924956,3.743183192915476,4.451668514382546,3.6362661873008415,3.613276439986913,4.305172596279143,4.176474439933255,3.991966723511382,3.7528487783144153,3.9098848046866417,3.7852289192162734
5,4.40559379015651,4.711564929594211,3.9762464542082148,3.9867683133954497,3.82716709274701,4.530449452345451,3.9230007901373156,3.6863951261016363,4.645576232398248,4.1612034183614,4.1870194955625655,3.958497126920367,3.7663843361058227,4.445133877786764,4.546682696845812,4.288618705915391,4.0768837355696075,4.119738907914505,3.6799676710633475,4.117292031915092,4.3489628930963296,4.07602689885376,4.604612394865055,4.2715889754962735,4.13897778567188,3.7966089336112563,4.447370234122857,4.193045217873163,3.812984582882876,3.6037269207930005,4.136623401819158,4.074730888504871,3.800691250178472,4.668242816818058,3.913119870127492,3.895099526490408,3.7989424696070353,4.903909418111993,4.528471093842667,4.15450998321139,3.743041738431192,4.396538289782917,4.030513440633724,4.390500903858089,3.842602832091004,3.9752367851395722,3.6637164464676575,4.5726596539411615,4.102625388121928,4.308085475523205,3.9139099177922323,3.7296809773890582,4.331356420513994,3.974309380123986,3.8895731085973178,4.399115254200201,3.792153012080064,4.309716168656609,3.9642465872735135,3.9304364187788994,4.01155380379461,3.9568763620961294,3.9662864454481475,3.638584640022821,4.038868717745143,4.433629328694427,4.126763889683199,4.601576781808025,4.0782012559788905,3.6048733953195082,4.031920932414747,3.8832198912565072,3.9293432968180446,3.810815775721243,4.324266973823274,3.9669963548424385,3.8354337710595785,3.8595048338281686,4.003518291968103,3.736748182927905,4.064366262829618,4.864884921521361,4.6535496024804335,3.86765495009211,4.3630779969639555,3.970792075956383,3.8256544667779524,4.45295673487658,4.129229389614507,4.944238229822518,4.745447019109085,4.463591642425973,4.0857272401182385,4.060713166791136,4.724962840371594,4.506651523712267,4.056939482080735,4.60786275692227,4.3974080935184645,4.21759318189595,4.068293951838694,3.9422987405648118,4.323702930140102,3.878977994352649,4.053918891300392,3.620328357307856,3.9007552420269334,3.78602254169132,3.958389462803035,3.8727261779743483,4.84780522232613,4.645340950957325,4.737655099507857,4.524234078498183,4.238653071397576,3.837569522311889,4.596806629859831,4.389441496110547,4.4763879171832395,4.253818514728467,3.788657857291946,3.8842578734642608,4.322948247730939,4.075009861354657,4.196847102148671,3.928261653038657,4.013981035778682,4.08652131276756,3.8846143170869616,3.981774190752421,3.787093488938186,3.828443669458008,4.100303777048574,4.398053703759573,4.253912971730933,4.6448582317555935,4.520625698172278,4.5856926819240185,4.448928429459715,4.001106196923371,4.549869412117243,4.43596188551889,4.4570180203680465,4.309804422915998,4.421290537451368,4.278911627964966,3.830424033001216,3.767821744933908,4.567725224978961,3.645963157871374,3.7665916046073273,4.405501564851351,4.284555107330421,4.108645426472014,3.8677661600032778,3.984989967140469,3.8701411744460175
6,4.418887670107852,4.7002765217985525,3.9839302942340242,3.994660505770021,3.824328991274927,4.508486855087347,3.877378196378424,3.725386510683744,4.648355393988437,4.16156917969984,4.205142964746526,3.9832850193251543,3.7708246996305594,4.483954124870169,4.451337528386228,4.248620750290393,4.002926286626209,4.140031514376418,3.697791202900537,4.110655845002401,4.132699431078808,4.068983461128688,4.301846884220079,4.225775184939338,4.129066808733252,3.832352911768213,4.422356723994809,4.173200789585878,3.816359570859211,3.574694993900556,4.113633635068587,4.2192252859954635,3.7486787579427365,4.673803365235341,3.912285625765187,3.894754714164475,3.793470370773205,4.731956971416646,4.341987680399036,4.000089252129745,3.747440348029305,4.394798769505095,4.185694478503298,4.290047457517667,3.8987459934683097,3.87960186917266,3.6815033097952257,4.547528793465315,4.038073873202359,4.238788849408861,3.8482063797810926,3.729646387807549,4.208434541025938,3.8205734649569822,3.9001394447092146,4.108364789916141,3.6918130156276603,4.3286790450198085,3.9789640159850403,4.121473481245949,3.979855562620483,3.9265573477131466,3.987484777124359,3.6412430888886833,3.9519619900209566,4.286347914301089,3.97729377776162,4.350471918302772,4.026840021104613,3.616222285959645,4.003260460467892,3.8763959751616324,3.8959295065093005,3.8515497494008564,4.290550706214599,3.965446796134983,3.7986442529201914,3.7587435392295783,4.026675239433285,3.771417643838826,4.010921358933456,4.880140103119418,4.668187946350575,3.8591517398438344,4.375134828101266,3.977057852674248,3.8067823323329897,4.292682352421572,4.036157336114922,4.957873611895002,4.761833982291476,4.478295697540718,4.100673249436378,4.0406912280687814,4.720539162301061,4.501090809312494,4.04531212889128,4.61436987530641,4.4056349977737375,4.149094125641572,4.083580330433662,3.8813145422417006,4.354945589155369,3.9664726597311115,4.077487578647408,3.7127946072456792,3.9139039616319407,3.7939581711276946,3.9340386718460967,3.9476720929780122,4.756952506561653,4.548693343382625,4.735272795487014,4.526038721184807,4.218115135668632,3.82961049726952,4.570839327447203,4.364907220678602,4.478092050706851,4.2418256818692,3.7749228857139845,3.893255599892319,4.20636482036776,3.962682890041253,4.199676087059347,3.962456278736183,4.001445663938422,3.941268839417022,3.9396021428459242,3.9683422850335504,3.870559654028381,3.7498542713132066,4.13953074465522,4.362207818016297,4.212532722042762,4.68044936932469,4.55962157570073,4.605454180505458,4.451222172890127,3.9942394759549407,4.56137698140465,4.444182380698321,4.470884122962772,4.328787349736367,4.454197139756232,4.3216429191961945,3.8309000272319036,3.7195160027016554,4.60801272139635,3.626305615595616,3.7858041542353194,4.436373610626037,4.316168235049962,4.141965944885182,3.900616929986986,4.00157413011726,3.8813410825375936
7,4.398786861754739,4.700351663332585,4.1862972586381755,4.0073917000629224,3.817958865719457,4.501923781436566,3.9748819383273513,3.726405752699389,4.63119365944103,4.135754589641061,4.213244664746482,4.12136376873128,3.784667556812091,4.31901796531267,4.450357493192587,4.272408839468128,3.9705458762068853,4.1480426552347796,3.711992318554202,4.244734000467556,4.371929952211998,4.068754446408594,4.719429350215437,4.3065907709763644,4.166399695106148,3.8165182285425807,4.415552169588294,4.263007312787054,3.79497537490369,3.5931132903613268,4.090487466096247,4.013179038628554,3.780540129754927,4.6817705091257515,3.897711523641071,3.852941017067235,3.780423609666806,4.7833920662607925,4.399279890186836,4.005127540847083,3.7300342642465902,4.411329467115781,4.19075932842967,4.378845394576692,3.9541342570074804,3.9678596992010693,3.689356082291651,4.544679225010914,3.9792695525534585,4.278799285624964,3.889004057725667,3.713953149893561,4.163586729309478,3.893159375307053,3.9037958193819127,4.147948221444682,3.991970249819016,4.335786129878121,3.985428676030133,4.044596358850917,4.005793476901224,4.004489822123662,3.997081039812853,3.6251456618952154,4.120631506311369,4.349367180045426,4.0210452862335435,4.445175508159279,4.1366783242827445,3.6092779745554093,4.137940752865766,3.8119827514142295,3.983815598587063,3.8725001145372997,4.320605144528298,3.971137914498602,3.81015998085999,3.8371909229657573,4.038851434503218,3.7630264445739683,4.112987227906926,4.888114533655559,4.677761707084789,3.8876342379734363,4.384716622767725,3.9810721729595406,3.8232585679932374,4.383239472490101,4.133121064222956,4.965830736193502,4.770432944265384,4.487344438849318,4.1190509547715,4.039620921646733,4.712826228793366,4.496460870128061,4.036311317177208,4.607041890357803,4.394232811019086,4.165753227826344,4.0632106753624155,3.8890384390627974,4.325926483528263,3.953890559464172,4.054034833618145,3.713567304604065,3.8872690476802214,3.7868914114330505,3.9380184266291085,3.9168759006126175,4.810715340190709,4.590599696670752,4.715184084564685,4.5049019347018415,4.189990899651132,3.7994879811798588,4.5715462257197395,4.362513685999655,4.461753039909728,4.2249313440860075,3.7135880453978602,3.894575249153956,4.264366698387041,4.012436100673941,4.166585803633377,3.9202761525740377,3.9838273806801165,3.9961625300818913,3.906586375276502,3.9620410919267233,3.886465848092364,3.782270915156832,4.076220874284316,4.292748406133488,4.1529042955756035,4.622532288788203,4.5194103285761305,4.58444061573573,4.4480727226810375,3.9908837196173232,4.558758192571964,4.44176444006629,4.455826601000392,4.304017522205444,4.423897488413978,4.279745066047113,3.822958458552983,3.763317645885821,4.630655835706612,3.63835078288485,3.807319665006499,4.443246558888782,4.324591188582419,4.154352285641698,3.908416992426499,4.0085850709920825,3.8808449548146857
8,4.428344753139575,4.691133826859344,4.494383040152775,3.940569847083896,3.8974416330449904,4.499547074040441,3.947925996338102,3.6962315701274586,4.561986178050061,4.070560711840176,4.203262418660224,3.901081633349692,3.7644262463279317,4.483589227547747,4.517316204434465,4.292323985389803,4.025984592701604,4.1337747708241555,3.669297879769657,4.0913964922395145,4.218004779299878,4.005219545495727,4.76444300730885,4.208833232682248,4.072470325705959,3.7224326717846354,4.411901312941315,4.249770257148332,3.759554519939151,3.6664900173251667,4.118839693953031,4.1183673874494735,3.646455602790167,4.711078180168591,3.9254901513179727,3.902086463880805,3.803714393991273,4.74797824976701,4.358780694530444,3.965011355882553,3.7588652997096346,4.4298103374962565,4.000738634824999,4.350169249876848,3.877097126113518,3.8756927763487394,3.6950839366230235,4.541056657804976,3.9825993921825478,4.166475217657235,3.7864763666240013,3.753241093916523,4.146503257540358,3.7862404650739228,3.9171186523200445,4.0406131310576,3.764658687627007,4.324543998724328,3.9831474938225675,4.040450232771158,4.086397953427309,3.9822188597528263,3.976655772476466,3.647817585268773,3.9043799826925527,4.367254022378123,4.05794866967532,4.346300138394103,4.025074533629321,3.6465025775661397,3.9339265532107994,3.8888800858211354,3.9946456517470734,3.8443471301840058,4.301620604490615,3.976225276504439,3.8122118830805696,3.81917378518069,4.019612407707514,3.7553948803061843,3.995130331872654,4.8762310041117205,4.665904955723263,3.875999325838177,4.375134828101266,3.9729221916542237,3.790212654517712,4.284037081061367,4.049922408423006,4.953229106908785,4.770631928751274,4.4745309205618415,4.100731341434452,4.025422227129608,4.7091814453331375,4.4923427001500125,4.029456960471982,4.606461444820287,4.396706979057463,4.160702659398181,4.076695884569243,3.8793068326375266,4.197033579789576,3.9640704643357187,4.2140865484716725,3.688186326410557,3.903365524151857,3.7497218616203787,3.9299390077187586,3.949547178910894,4.778662915500998,4.516401660362893,4.8320793542751135,4.629662660682741,4.342801170220172,3.9604413388432858,4.650047641365689,4.4546975249715555,4.532813221141017,4.31033696513544,3.884083717590817,3.9632407914500596,4.230731842737164,3.990808390126592,4.307066382486263,4.06397391779342,4.100659517378588,3.979528674580596,4.090927742793619,4.092586044513249,3.8351165462816375,3.8191392622060665,4.111200967527883,4.194130624143519,4.053752729170417,4.62557160507769,4.500047394763793,4.522694282828136,4.452680611600522,3.8963561234465076,4.469011048794857,4.354819321196024,4.395040413708798,4.2750040214197345,4.400669546079255,4.29442365491848,3.8737388695996406,3.6993539916734655,4.604065682692907,3.603194300115399,3.770492474048741,4.421380848844306,4.299448040324107,4.128747810551621,3.8757501171443187,4.0032954268352965,3.8773833680133953
9,4.40559379015651,4.703501139760167,3.986224503405171,3.9393974401465637,3.8826586604036284,4.512607279762743,3.877378196378424,3.7217011338929136,4.652644789335287,4.164877954583075,4.205680316506629,4.030860719690238,3.753939297885982,4.1665735217490765,4.428540324343903,4.279336459063601,4.021376494410241,4.119738907914505,3.680688865033297,4.141761146612863,4.683548529015868,4.092380209262966,4.939164519534372,4.261422084875717,4.057156457295344,3.8313200716697633,4.429464817890453,4.218895519083473,3.8929560720159686,3.716867128392324,4.113633635068587,4.044053750001513,3.69873568007011,4.711034236222563,3.903760539410544,3.874464154655751,3.795511082743416,4.73578392008357,4.356784895741848,3.945372212106584,3.7295473512496793,4.427501627185325,4.139462130438603,4.486621742073406,3.8881787623784483,4.099503262620814,3.6592007752492073,4.556483253822886,3.9419521035695246,4.317734708032488,3.922891487646631,3.7194037164395852,4.273455290675708,3.8917977936316652,3.9278890848910053,4.210969361203748,4.143527930046689,4.323359899121343,3.9797647225761854,4.485741421071047,4.0043385856856935,4.011522154405931,3.989262502224415,3.638254692431661,4.032387494822652,4.298695501771183,3.991300596866302,4.401107089658136,4.086870655916542,3.6206015736202324,4.064707728710184,3.8696487909495096,3.959156347350632,3.879436820075396,4.310761866400695,3.9826354130947257,3.831027275724645,4.052014085665942,4.015049400846184,3.733420830981688,4.17475763944063,4.874467863235032,4.660438746459103,3.872691134758309,4.367544693495053,3.96713279286251,3.832771116436018,4.382693916750872,4.133284397280618,4.949913549107338,4.756602029683838,4.468611611646687,4.0967071395886965,4.028160145766924,4.703738413043035,4.485912702122712,4.028770296939837,4.6057356469692,4.389544493071724,4.197391777437853,4.062872306124707,3.9255358488173555,4.359517461489367,3.928116266929226,4.069151044185691,3.648530644343227,3.9041884390228914,3.721434570523832,3.9235488304019617,3.9245272045610413,4.811731684160433,4.605933015583791,4.798687579517811,4.592330159297444,4.2973700498889205,3.9148138267141133,4.708506004962837,4.451820768961156,4.502081639638269,4.263741404179456,3.8315039630415364,3.9382811194138236,4.2774875084735084,4.029141963303279,4.2755445017784925,4.02182031866359,4.100804264059649,4.028045199032926,4.045446630306621,4.081874017016779,3.8261983282775214,3.782554932799377,4.0265561537704775,4.295448105370428,4.151745434618758,4.634216028505263,4.512624703160689,4.532510325447643,4.463370725637453,3.95409924018691,4.517407815527662,4.40566972255984,4.43725156733244,4.279434989825187,4.438802351275499,4.299172082641691,3.868052594509736,3.7297010014479715,4.604772960169012,3.6497241265946387,3.7594157437652598,4.403614066830072,4.281168939049415,4.105915627192271,3.8634264298783925,3.991583131988397,3.8623233984115184
